"timestamp","distance","temperature","co2","humidity","stage","growth"
"2026-02-25 09:35:31","100","29.6","2877","68.2","0","2"
"2026-02-25 09:36:32","100","29.9","3538","72.3","0","2"
"2026-02-25 09:37:32","100","30.1","3645","73.1","0","2"
"2026-02-25 09:38:32","100","30.2","3606","73.5","0","2"
"2026-02-25 09:39:33","100","30.4","3432","73.9","0","2"
"2026-02-25 09:40:33","100","30.5","3294","74.2","0","2"
"2026-02-25 09:41:33","102","30.7","3221","74.4","0","0"
"2026-02-25 09:42:33","102","30.9","3165","74.4","0","0"
"2026-02-25 09:43:34","101","31.1","3061","74.6","0","1"
"2026-02-25 09:44:34","102","31.2","3029","74.6","0","0"
"2026-02-25 09:45:34","101","31.4","2996","74.7","0","1"
"2026-02-25 09:46:34","99","31.5","2947","74.5","0","3"
"2026-02-25 09:47:35","99","31.7","2924","74.5","0","3"
"2026-02-25 09:48:35","100","31.8","2905","74.4","0","2"
"2026-02-25 09:49:35","101","32","2887","74.3","0","1"
"2026-02-25 09:50:36","101","32.1","2870","74.1","0","1"
"2026-02-25 09:51:36","99","32.3","2862","74.1","0","3"
"2026-02-25 09:52:37","100","32.4","2847","73.6","0","2"
"2026-02-25 09:53:37","100","32.5","2838","73.8","0","2"
"2026-02-25 09:54:38","101","32.6","2831","73.5","0","1"
"2026-02-25 09:55:38","100","32.7","2826","73.3","0","2"
"2026-02-25 09:56:38","99","32.8","2820","73","0","3"
"2026-02-25 09:57:39","100","32.9","2816","72.7","0","2"
"2026-02-25 09:58:39","100","33","2814","72.5","0","2"
"2026-02-25 09:59:40","100","33","2812","72.3","0","2"
"2026-02-25 10:00:40","100","33.1","2810","72","0","2"
"2026-02-25 10:01:41","100","33.2","2801","71.7","0","2"
"2026-02-25 10:02:41","100","33.2","2800","71.7","0","2"
"2026-02-25 10:03:42","100","33.3","2808","71.1","0","2"
"2026-02-25 10:04:42","99","33.3","2810","71","0","3"
"2026-02-25 10:05:42","100","33.4","2820","70.9","0","2"
"2026-02-25 10:06:43","99","33.4","2836","70.8","0","3"
"2026-02-25 10:07:43","99","33.5","2848","70.8","0","3"
"2026-02-25 10:08:44","99","33.5","2862","70.9","0","3"
"2026-02-25 10:09:44","99","33.5","2872","70.4","1","3"
"2026-02-25 10:10:44","98","33.5","2893","70.9","1","4"
"2026-02-25 10:11:45","100","33.6","2896","70.5","1","2"
"2026-02-25 10:12:45","98","33.6","2895","70.7","1","4"
"2026-02-25 10:13:46","99","33.6","2893","70.9","1","3"
"2026-02-25 10:14:46","100","33.7","2901","70.8","1","2"
"2026-02-25 10:15:46","98","33.7","2902","70.7","1","4"
"2026-02-25 10:16:47","97","33.7","2912","70.8","1","5"
"2026-02-25 10:17:47","97","33.8","2929","70.7","1","5"
"2026-02-25 10:18:48","98","33.8","2938","70.5","1","4"
"2026-02-25 10:19:48","97","33.8","2960","70.8","1","5"
"2026-02-25 10:20:49","97","33.8","2972","70.5","1","5"
"2026-02-25 10:21:49","97","33.9","2973","70.4","1","5"
"2026-02-25 10:22:50","95","33.9","2984","65.4","1","7"
"2026-02-25 10:23:50","95","33.9","2987","69.3","1","7"
"2026-02-25 10:24:51","96","33.9","3008","70","1","6"
"2026-02-25 10:25:51","96","33.9","3036","69.9","1","6"
"2026-02-25 10:26:52","95","33.9","3088","69.8","1","7"
"2026-02-25 10:27:52","94","33.9","3154","69.8","1","8"
"2026-02-25 10:28:53","96","33.9","3195","69.9","1","6"
"2026-02-25 10:29:53","94","33.9","3245","69.9","1","8"
"2026-02-25 10:30:53","94","33.9","3276","69.9","1","8"
"2026-02-25 10:31:54","93","33.9","3302","70.2","1","9"
"2026-02-25 10:32:55","95","33.9","3332","70.3","1","7"
"2026-02-25 10:33:55","93","33.9","3347","70.5","1","9"
"2026-02-25 10:34:56","92","33.9","3363","70.6","1","10"
"2026-02-25 10:35:56","92","33.9","3384","70.6","1","10"
"2026-02-25 10:36:56","94","33.9","3408","70.9","1","8"
"2026-02-25 10:37:57","91","33.9","3426","71.1","1","11"
"2026-02-25 10:38:57","92","33.9","3442","71.1","1","10"
"2026-02-25 10:39:58","92","33.9","3453","71.1","1","10"
"2026-02-25 10:40:58","92","34","3463","71","1","10"
"2026-02-25 10:41:59","91","34","3472","71.4","1","11"
"2026-02-25 10:42:59","90","34","3486","71.4","1","12"
"2026-02-25 10:44:00","91","34","3495","71.2","1","11"
"2026-02-25 10:45:00","91","34","3503","71.4","1","11"
"2026-02-25 10:46:01","91","34","3510","71.4","1","11"
"2026-02-25 10:47:01","89","34","3515","71.6","1","13"
"2026-02-25 10:48:02","90","34.1","3518","71.5","1","12"
"2026-02-25 10:49:02","87","34.1","3523","71.4","1","15"
"2026-02-25 10:50:02","88","34.1","3546","71.3","1","14"
"2026-02-25 10:51:03","88","34.1","3564","71.2","1","14"
"2026-02-25 10:52:03","87","34.2","3577","71.1","1","15"
"2026-02-25 10:53:04","86","34.2","3586","71.2","1","16"
"2026-02-25 10:54:04","87","34.2","3592","70.9","1","15"
"2026-02-25 10:55:04","88","34.2","3589","70.9","1","14"
"2026-02-25 10:56:05","86","34.2","3597","70.7","1","16"
"2026-02-25 10:57:05","86","34.2","3600","70.6","1","16"
"2026-02-25 10:58:05","85","34.2","3631","70.7","1","17"
"2026-02-25 10:59:06","84","34.2","3684","70.6","1","18"
"2026-02-25 11:00:06","85","34.2","3716","70.5","1","17"
"2026-02-25 11:01:07","85","34.2","3738","70.4","1","17"
"2026-02-25 11:02:07","84","34.2","3762","70.3","1","18"
"2026-02-25 11:03:08","84","34.3","3778","70.4","1","18"
"2026-02-25 11:04:08","84","34.2","3799","70.3","1","18"
"2026-02-25 11:05:08","82","34.2","3804","70.3","1","20"
"2026-02-25 11:06:08","82","34.2","3813","70.3","1","20"
