timestamp,distance,temperature,co2,humidity,stage,growth
2026-02-28 15:51:29,99,26.7,565,74.1,0,0
2026-02-28 15:52:29,98,26.7,663,77.2,0,1
2026-02-28 15:53:30,96,26.9,652,78.8,0,3
2026-02-28 15:54:30,97,27.1,615,79.5,0,2
2026-02-28 15:55:31,97,27.3,574,80.0,0,2
2026-02-28 15:56:31,98,27.5,519,80.4,0,1
2026-02-28 15:57:31,96,27.7,494,80.5,0,3
2026-02-28 15:58:32,98,27.8,472,80.6,0,1
2026-02-28 15:59:32,98,28.0,458,80.6,0,1
2026-02-28 16:00:33,98,28.1,448,80.5,0,1
2026-02-28 16:01:33,98,28.3,441,80.4,0,1
2026-02-28 16:02:33,96,28.4,436,80.2,0,3
2026-02-28 16:03:33,96,28.6,440,80.1,0,3
2026-02-28 16:04:34,97,28.7,447,79.9,0,2
2026-02-28 16:05:34,97,28.8,442,79.7,0,2
2026-02-28 16:06:35,97,28.9,441,79.6,0,2
2026-02-28 16:07:35,96,29.0,444,79.4,0,3
2026-02-28 16:08:36,96,29.1,446,79.3,0,3
2026-02-28 16:09:36,97,29.2,451,79.0,0,2
2026-02-28 16:10:37,96,29.3,457,78.9,0,3
2026-02-28 16:11:37,96,29.4,464,78.7,0,3
2026-02-28 16:12:38,96,29.5,466,78.5,0,3
2026-02-28 16:13:38,96,29.6,470,78.2,0,3
2026-02-28 16:14:39,98,29.6,471,78.0,0,1
2026-02-28 16:15:39,98,29.7,470,77.8,0,1
2026-02-28 16:16:39,96,29.7,470,77.5,0,3
2026-02-28 16:17:40,97,29.8,478,77.3,0,2
2026-02-28 16:18:40,97,29.9,481,77.0,0,2
2026-02-28 16:19:40,97,29.9,483,76.8,0,2
2026-02-28 16:20:41,96,29.9,486,76.6,0,3
2026-02-28 16:21:41,97,30.0,491,76.4,0,2
2026-02-28 16:22:41,98,30.0,495,76.2,0,1
2026-02-28 16:23:42,96,30.0,500,76.0,0,3
2026-02-28 16:24:42,98,30.1,504,75.9,0,1
2026-02-28 16:25:43,97,30.1,509,75.7,0,2
2026-02-28 16:26:43,98,30.1,515,75.5,0,1
2026-02-28 16:27:44,97,30.2,522,75.4,0,2
2026-02-28 16:28:44,98,30.2,521,75.3,0,1
2026-02-28 16:29:45,97,30.2,525,75.2,0,2
2026-02-28 16:30:45,96,30.2,531,75.1,0,3
2026-02-28 16:31:46,96,30.2,534,74.9,0,3
2026-02-28 16:32:46,98,30.2,540,74.9,0,1
2026-02-28 16:33:47,97,30.3,544,74.8,0,2
2026-02-28 16:34:47,97,30.2,547,74.7,0,2
2026-02-28 16:35:48,97,30.3,554,74.6,0,2
2026-02-28 16:36:49,98,30.3,558,74.5,0,1
2026-02-28 16:37:49,96,30.3,567,74.4,0,3
2026-02-28 16:38:50,96,30.3,574,74.4,0,3
2026-02-28 16:39:50,95,30.3,577,74.3,0,4
2026-02-28 16:40:51,96,30.3,580,74.2,0,3
2026-02-28 16:41:51,95,30.3,586,74.1,0,4
