"timestamp","distance","temperature","co2","humidity","stage"
"2026-03-04 14:10:18","98","23.5","1617","79.4","0"
"2026-03-04 14:11:19","98","23.9","1613","78.5","0"
"2026-03-04 14:12:19","98","24.1","1616","77.7","0"
"2026-03-04 14:13:19","97","24.2","1606","77.1","0"
"2026-03-04 14:14:19","97","24.3","1613","76.7","0"
"2026-03-04 14:15:20","97","24.3","1617","76.4","0"
"2026-03-04 14:16:20","98","24.3","1623","76.1","0"
"2026-03-04 14:17:20","98","24.3","1630","75.9","0"
"2026-03-04 14:18:20","97","24.4","1631","75.7","0"
"2026-03-04 14:19:21","98","24.4","1636","75.5","0"
"2026-03-04 14:20:21","98","24.3","1649","75.3","0"
"2026-03-04 14:21:21","97","24.3","1647","75.2","0"
"2026-03-04 14:22:21","99","24.3","1652","75.1","0"
"2026-03-04 14:23:22","97","24.3","1658","75","0"
"2026-03-04 14:24:22","98","24.3","1658","74.3","0"
"2026-03-04 14:25:22","98","24.3","1658","74.5","0"
"2026-03-04 14:26:23","98","24.2","1658","74.3","0"
"2026-03-04 14:27:23","98","24.2","1658","74.3","0"
"2026-03-04 14:28:24","99","24.2","1658","74.3","0"
"2026-03-04 14:29:24","98","24.2","1658","74.2","0"
"2026-03-04 14:30:24","98","24.1","1658","74.2","0"
"2026-03-04 14:31:24","98","24.1","1658","74.1","0"
"2026-03-04 14:32:25","98","24.1","1658","74.2","0"
"2026-03-04 14:33:25","98","24","1658","74.1","0"
"2026-03-04 14:34:26","98","24","1658","74.1","0"
"2026-03-04 14:35:26","97","23.9","1658","74.1","0"
"2026-03-04 14:36:27","97","23.9","1658","74.1","0"
"2026-03-04 14:37:27","98","23.8","1658","74.1","0"
"2026-03-04 14:38:27","97","23.8","1658","74","0"
"2026-03-04 14:39:28","98","23.8","1658","74","0"
"2026-03-04 14:40:28","98","23.7","1658","74","0"
"2026-03-04 14:41:29","97","23.7","1658","73.9","0"
"2026-03-04 14:42:29","97","23.6","1658","73.9","0"
"2026-03-04 14:43:29","98","23.6","1658","73.9","0"
"2026-03-04 14:44:30","97","23.6","1658","73.9","0"
"2026-03-04 14:45:30","99","23.6","1658","73.8","0"
"2026-03-04 14:46:30","97","23.5","1658","73.8","0"
"2026-03-04 14:47:30","97","23.5","1658","73.7","0"
"2026-03-04 14:48:31","97","23.4","1658","73.6","0"
"2026-03-04 14:49:31","97","23.4","1658","73.6","0"
"2026-03-04 14:50:32","97","23.4","1658","73.5","0"
"2026-03-04 14:51:32","96","23.3","1658","73.4","0"
"2026-03-04 14:54:48","97","23.2","1609","74.4","0"
"2026-03-04 14:55:48","98","23.4","1637","74","0"
"2026-03-04 14:56:49","97","23.4","1702","73.6","0"
"2026-03-04 14:57:49","97","23.4","1721","73.3","0"
"2026-03-04 14:58:50","97","23.5","1740","73.1","0"
"2026-03-04 14:59:50","96","23.5","1750","72.9","0"
"2026-03-04 15:00:50","96","23.5","1766","72.7","0"
"2026-03-04 15:01:51","97","23.5","1782","72.6","0"
"2026-03-04 15:02:51","97","23.5","1786","72.5","0"
"2026-03-04 15:03:52","97","23.5","1793","72.3","0"
"2026-03-04 15:04:52","96","23.5","1803","72.2","0"
"2026-03-04 15:05:53","97","23.5","1805","72.1","0"
"2026-03-04 15:06:53","96","23.5","1820","72","0"
"2026-03-04 15:07:53","96","23.5","1813","71.9","0"
"2026-03-04 15:08:53","96","23.5","1805","71.8","0"
"2026-03-04 15:09:54","97","23.5","1804","71.7","0"
"2026-03-04 15:10:54","97","23.5","1802","71.6","0"
"2026-03-04 15:11:55","97","23.5","1799","71.5","0"
"2026-03-04 15:12:55","95","23.5","1800","71.5","0"
"2026-03-04 15:13:56","97","23.5","1797","71.4","0"
"2026-03-04 15:14:56","97","23.5","1793","71.3","0"
"2026-03-04 15:15:57","94","23.4","1785","71.3","1"
